date,debt
1/10/04,35
1/17/04,36
1/24/04,36
1/31/04,37
2/7/04,37
2/14/04,37
2/21/04,35
2/28/04,35
3/6/04,34
3/13/04,34
3/20/04,33
3/27/04,30
4/3/04,33
4/10/04,31
4/17/04,33
4/24/04,33
5/1/04,34
5/8/04,31
5/15/04,31
5/22/04,31
5/29/04,31
6/5/04,29
6/12/04,32
6/19/04,30
6/26/04,30
7/3/04,31
7/10/04,29
7/17/04,31
7/24/04,33
7/31/04,33
8/7/04,32
8/14/04,31
8/21/04,30
8/28/04,31
9/4/04,29
9/11/04,30
9/18/04,31
9/25/04,32
10/2/04,33
10/9/04,33
10/16/04,34
10/23/04,34
10/30/04,33
11/6/04,37
11/13/04,33
11/20/04,36
11/27/04,29
12/4/04,34
12/11/04,33
12/18/04,29
12/25/04,22
1/1/05,24
1/8/05,33
1/15/05,33
1/22/05,32
1/29/05,33
2/5/05,33
2/12/05,33
2/19/05,31
2/26/05,32
3/5/05,32
3/12/05,32
3/19/05,32
3/26/05,30
4/2/05,30
4/9/05,30
4/16/05,33
4/23/05,33
4/30/05,32
5/7/05,32
5/14/05,30
5/21/05,30
5/28/05,28
6/4/05,27
6/11/05,29
6/18/05,32
6/25/05,29
7/2/05,29
7/9/05,28
7/16/05,29
7/23/05,30
7/30/05,30
8/6/05,29
8/13/05,30
8/20/05,29
8/27/05,27
9/3/05,28
9/10/05,26
9/17/05,30
9/24/05,31
10/1/05,31
10/8/05,31
10/15/05,30
10/22/05,29
10/29/05,29
11/5/05,30
11/12/05,28
11/19/05,29
11/26/05,25
12/3/05,30
12/10/05,30
12/17/05,28
12/24/05,23
12/31/05,23
1/7/06,31
1/14/06,32
1/21/06,32
1/28/06,32
2/4/06,33
2/11/06,33
2/18/06,31
2/25/06,32
3/4/06,33
3/11/06,32
3/18/06,33
3/25/06,34
4/1/06,33
4/8/06,33
4/15/06,32
4/22/06,33
4/29/06,33
5/6/06,32
5/13/06,31
5/20/06,30
5/27/06,29
6/3/06,27
6/10/06,33
6/17/06,33
6/24/06,31
7/1/06,30
7/8/06,29
7/15/06,36
7/22/06,35
7/29/06,34
8/5/06,32
8/12/06,32
8/19/06,33
8/26/06,28
9/2/06,27
9/9/06,28
9/16/06,32
9/23/06,34
9/30/06,36
10/7/06,34
10/14/06,33
10/21/06,33
10/28/06,32
11/4/06,32
11/11/06,33
11/18/06,32
11/25/06,28
12/2/06,31
12/9/06,32
12/16/06,29
12/23/06,25
12/30/06,24
1/6/07,30
1/13/07,34
1/20/07,32
1/27/07,34
2/3/07,31
2/10/07,30
2/17/07,30
2/24/07,32
3/3/07,30
3/10/07,31
3/17/07,31
3/24/07,30
3/31/07,31
4/7/07,30
4/14/07,30
4/21/07,30
4/28/07,31
5/5/07,32
5/12/07,29
5/19/07,29
5/26/07,29
6/2/07,27
6/9/07,29
6/16/07,28
6/23/07,27
6/30/07,28
7/7/07,26
7/14/07,29
7/21/07,29
7/28/07,30
8/4/07,30
8/11/07,30
8/18/07,32
8/25/07,29
9/1/07,28
9/8/07,26
9/15/07,28
9/22/07,30
9/29/07,32
10/6/07,32
10/13/07,31
10/20/07,32
10/27/07,31
11/3/07,31
11/10/07,31
11/17/07,30
11/24/07,25
12/1/07,30
12/8/07,30
12/15/07,28
12/22/07,24
12/29/07,21
1/5/08,28
1/12/08,33
1/19/08,33
1/26/08,33
2/2/08,33
2/9/08,33
2/16/08,31
2/23/08,31
3/1/08,33
3/8/08,32
3/15/08,31
3/22/08,30
3/29/08,30
4/5/08,31
4/12/08,30
4/19/08,31
4/26/08,31
5/3/08,30
5/10/08,29
5/17/08,28
5/24/08,28
5/31/08,26
6/7/08,27
6/14/08,27
6/21/08,27
6/28/08,28
7/5/08,26
7/12/08,30
7/19/08,30
7/26/08,30
8/2/08,31
8/9/08,29
8/16/08,28
8/23/08,29
8/30/08,29
9/6/08,29
9/13/08,32
9/20/08,37
9/27/08,41
10/4/08,40
10/11/08,46
10/18/08,40
10/25/08,36
11/1/08,35
11/8/08,34
11/15/08,38
11/22/08,36
11/29/08,32
12/6/08,35
12/13/08,34
12/20/08,30
12/27/08,22
1/3/09,28
1/10/09,35
1/17/09,34
1/24/09,34
1/31/09,35
2/7/09,35
2/14/09,35
2/21/09,37
2/28/09,38
3/7/09,36
3/14/09,34
3/21/09,33
3/28/09,35
4/4/09,35
4/11/09,32
4/18/09,33
4/25/09,33
5/2/09,33
5/9/09,31
5/16/09,30
5/23/09,30
5/30/09,29
6/6/09,30
6/13/09,30
6/20/09,29
6/27/09,31
7/4/09,32
7/11/09,33
7/18/09,32
7/25/09,31
8/1/09,31
8/8/09,31
8/15/09,32
8/22/09,30
8/29/09,32
9/5/09,29
9/12/09,29
9/19/09,30
9/26/09,30
10/3/09,30
10/10/09,30
10/17/09,32
10/24/09,31
10/31/09,30
11/7/09,30
11/14/09,30
11/21/09,33
11/28/09,32
12/5/09,35
12/12/09,32
12/19/09,29
12/26/09,19
1/2/10,23
1/9/10,30
1/16/10,32
1/23/10,32
1/30/10,35
2/6/10,38
2/13/10,36
2/20/10,35
2/27/10,34
3/6/10,34
3/13/10,32
3/20/10,31
3/27/10,35
4/3/10,30
4/10/10,31
4/17/10,33
4/24/10,32
5/1/10,37
5/8/10,36
5/15/10,34
5/22/10,31
5/29/10,30
6/5/10,28
6/12/10,31
6/19/10,28
6/26/10,28
7/3/10,29
7/10/10,27
7/17/10,29
7/24/10,29
7/31/10,29
8/7/10,27
8/14/10,28
8/21/10,28
8/28/10,27
9/4/10,26
9/11/10,26
9/18/10,27
9/25/10,28
10/2/10,28
10/9/10,29
10/16/10,28
10/23/10,29
10/30/10,28
11/6/10,30
11/13/10,31
11/20/10,31
11/27/10,25
12/4/10,29
12/11/10,28
12/18/10,25
12/25/10,19
1/1/11,19
1/8/11,29
1/15/11,27
1/22/11,29
1/29/11,30
2/5/11,28
2/12/11,28
2/19/11,29
2/26/11,27
3/5/11,27
3/12/11,28
3/19/11,26
3/26/11,27
4/2/11,28
4/9/11,30
4/16/11,34
4/23/11,32
4/30/11,27
5/7/11,27
5/14/11,27
5/21/11,31
5/28/11,26
6/4/11,26
6/11/11,26
6/18/11,27
6/25/11,28
7/2/11,30
7/9/11,30
7/16/11,50
7/23/11,51
7/30/11,99
8/6/11,100
8/13/11,46
8/20/11,33
8/27/11,30
9/3/11,36
9/10/11,39
9/17/11,38
9/24/11,37
10/1/11,37
10/8/11,34
10/15/11,33
10/22/11,33
10/29/11,34
11/5/11,34
11/12/11,34
11/19/11,34
11/26/11,35
12/3/11,35
12/10/11,34
12/17/11,31
12/24/11,24
12/31/11,24
1/7/12,29
1/14/12,31
1/21/12,32
1/28/12,36
2/4/12,32
2/11/12,31
2/18/12,31
2/25/12,31
3/3/12,28
3/10/12,29
3/17/12,26
3/24/12,27
3/31/12,26
4/7/12,25
4/14/12,26
4/21/12,28
4/28/12,29
5/5/12,27
5/12/12,26
5/19/12,29
5/26/12,26
6/2/12,24
6/9/12,24
6/16/12,25
6/23/12,25
6/30/12,25
7/7/12,22
7/14/12,24
7/21/12,25
7/28/12,25
8/4/12,24
8/11/12,24
8/18/12,26
8/25/12,25
9/1/12,28
9/8/12,34
9/15/12,29
9/22/12,29
9/29/12,28
10/6/12,31
10/13/12,28
10/20/12,30
10/27/12,30
11/3/12,26
11/10/12,37
11/17/12,29
11/24/12,23
12/1/12,28
12/8/12,28
12/15/12,25
12/22/12,20
12/29/12,17
1/5/13,27
1/12/13,28
1/19/13,30
1/26/13,27
2/2/13,27
2/9/13,26
2/16/13,26
2/23/13,25
3/2/13,27
3/9/13,26
3/16/13,25
3/23/13,25
3/30/13,24
4/6/13,23
4/13/13,22
4/20/13,25
4/27/13,25
5/4/13,24
5/11/13,23
5/18/13,23
5/25/13,21
6/2/13,30
6/9/13,29
6/16/13,31
6/23/13,30
6/30/13,26
7/7/13,30
7/14/13,31
7/21/13,33
7/28/13,30
8/4/13,31
8/11/13,28
8/18/13,31
8/25/13,32
9/1/13,29
9/8/13,34
9/15/13,37
9/22/13,43
9/29/13,65
10/6/13,83
10/13/13,100
10/20/13,44
10/27/13,38
11/3/13,34
11/10/13,38
11/17/13,35
11/24/13,26
12/1/13,35
12/8/13,33
12/15/13,30
12/22/13,22
12/29/13,28
1/5/14,32
1/12/14,35
1/19/14,35
1/26/14,39
2/2/14,40
2/9/14,44
2/16/14,38
2/23/14,37
3/2/14,37
3/9/14,35
3/16/14,37
3/23/14,36
3/30/14,36
4/6/14,38
4/13/14,35
4/20/14,37
4/27/14,35
5/4/14,34
5/11/14,32
5/18/14,33
5/25/14,31
6/1/14,32
6/8/14,34
6/15/14,30
6/22/14,31
6/29/14,28
7/6/14,32
7/13/14,32
7/20/14,33
7/27/14,35
8/3/14,32
8/10/14,29
8/17/14,30
8/24/14,31
8/31/14,26
9/7/14,32
9/14/14,35
9/21/14,33
9/28/14,33
10/5/14,34
10/12/14,32
10/19/14,36
10/26/14,33
11/2/14,37
11/9/14,36
11/16/14,35
11/23/14,26
11/30/14,37
12/7/14,37
12/14/14,31
12/21/14,21
12/28/14,25
1/4/15,32
1/11/15,35
1/18/15,35
1/25/15,38
2/1/15,39
2/8/15,38
2/15/15,35
2/22/15,36
3/1/15,36
3/8/15,36
3/15/15,36
3/22/15,34
3/29/15,34
4/5/15,35
4/12/15,37
4/19/15,38
4/26/15,36
5/3/15,34
5/10/15,32
5/17/15,32
5/24/15,29
5/31/15,32
6/7/15,33
6/14/15,33
6/21/15,34
6/28/15,49
7/5/15,46
7/12/15,41
7/19/15,35
7/26/15,33
8/2/15,35
8/9/15,34
8/16/15,33
8/23/15,34
8/30/15,33
9/6/15,33
9/13/15,38
9/20/15,37
9/27/15,37
10/4/15,38
10/11/15,37
10/18/15,39
10/25/15,42
11/1/15,39
11/8/15,39
11/15/15,37
11/22/15,27
11/29/15,37
12/6/15,38
12/13/15,34
12/20/15,25
12/27/15,28
1/3/16,35
1/10/16,41
1/17/16,37
1/24/16,41
1/31/16,45
2/7/16,45
2/14/16,89
2/21/16,55
2/28/16,46
3/6/16,42
3/13/16,41
3/20/16,40
3/27/16,39
4/3/16,43
4/10/16,45
4/17/16,43
4/24/16,44
5/1/16,43
5/8/16,43
5/15/16,39
5/22/16,36
5/29/16,32
6/5/16,45
6/12/16,33
6/19/16,35
6/26/16,33
7/3/16,31
7/10/16,35
7/17/16,38
7/24/16,40
7/31/16,36
8/7/16,33
8/14/16,32
8/21/16,34
8/28/16,34
9/4/16,34
9/11/16,37
9/18/16,37
9/25/16,45
10/2/16,41
10/9/16,41
10/16/16,48
10/23/16,41
10/30/16,39
11/6/16,50
11/13/16,43
11/20/16,32
11/27/16,42
12/4/16,43
12/11/16,38
12/18/16,29
12/25/16,27
1/1/17,37
1/8/17,42
1/15/17,48
1/22/17,49
1/29/17,45
2/5/17,42
2/12/17,40
2/19/17,48
2/26/17,49
3/5/17,41
3/12/17,43
3/19/17,41
3/26/17,41
4/2/17,41
4/9/17,40
4/16/17,41
4/23/17,42
4/30/17,42
5/7/17,39
5/14/17,36
5/21/17,35
5/28/17,33
6/4/17,36
6/11/17,34
6/18/17,35
6/25/17,35
7/2/17,33
7/9/17,36
7/16/17,37
7/23/17,37
7/30/17,41
8/6/17,37
8/13/17,34
8/20/17,36
8/27/17,35
9/3/17,41
9/10/17,39
9/17/17,39
9/24/17,42
10/1/17,41
10/8/17,41
10/15/17,40
10/22/17,39
10/29/17,40
11/5/17,39
11/12/17,40
11/19/17,29
11/26/17,42
12/3/17,42
12/10/17,38
12/17/17,38
12/24/17,30
12/31/17,34
1/7/18,39
1/14/18,38
1/21/18,42
1/28/18,45
2/4/18,47
2/11/18,42
2/18/18,42
2/25/18,43
3/4/18,39
3/11/18,38
3/18/18,42
3/25/18,39
4/1/18,41
4/8/18,44
4/15/18,43
4/22/18,41
4/29/18,40
5/6/18,39
5/13/18,37
5/20/18,35
5/27/18,34
6/3/18,71
6/10/18,69
6/17/18,68
6/24/18,67
7/1/18,63
7/8/18,74
7/15/18,73
7/22/18,73
7/29/18,76
8/5/18,75
8/12/18,71
8/19/18,69
8/26/18,69
9/2/18,67
9/9/18,77
9/16/18,80
9/23/18,79
9/30/18,80
10/7/18,81
10/14/18,86
10/21/18,86
10/28/18,80
11/4/18,78
11/11/18,78
11/18/18,62
11/25/18,79
12/2/18,82
12/9/18,81
12/16/18,69
12/23/18,60
12/30/18,77
1/6/19,89
1/13/19,86
1/20/19,85
1/27/19,84
2/3/19,84
2/10/19,100
2/17/19,89
2/24/19,86
3/3/19,85
3/10/19,83
3/17/19,80
3/24/19,80
3/31/19,81
4/7/19,83
4/14/19,78
4/21/19,90
4/28/19,83